,Unnamed: 0,categories,text,text_full,main_category,label_mid,label_high
0,0,114 Rzeczowe,"['czy wspólnota mieszkaniowa może podjąć uchwałę dotyczącą zakupu wodomierzy odczytywanych radiowo do lokali, pokrywając ich koszty?']",czy wspólnota mieszkaniowa może podjąć uchwałę dotyczącą zakupu wodomierzy odczytywanych radiowo do lokali pokrywając ich koszty,rzeczowe,rzeczowe,prawo cywilne
1,1,114 Rzeczowe,"['czy wspólnota mieszkaniowa może odzyskać pomieszczenie gospodarcze?', 'jakie kroki wspólnota mieszkaniowa powinna podjąć, aby odzyskać przedmiotowe pomieszczenie?']",czy wspólnota mieszkaniowa może odzyskać pomieszczenie gospodarcze jakie kroki wspólnota mieszkaniowa powinna podjąć aby odzyskać przedmiotowe pomieszczenie,rzeczowe,rzeczowe,prawo cywilne
2,3,15 Prawo ochrony danych osobowych,['czy uprawnienie mieszkańców wspólnoty mieszkaniowej jest zgodne z przepisami rodo?'],czy uprawnienie mieszkańców wspólnoty mieszkaniowej jest zgodne z przepisami rodo,prawo ochrony danych osobowych,prawo administracyjne materialne,prawo administracyjne
3,4,"20 Prawo budowlane, 114 Rzeczowe",['czy budowa windy dla osób niepełnosprawnych może zostać zakwalifikowana jako remont i zostać sfinansowana z funduszu remontowego dużej wspólnoty mieszkaniowej?'],czy budowa windy dla osób niepełnosprawnych może zostać zakwalifikowana jako remont i zostać sfinansowana z funduszu remontowego dużej wspólnoty mieszkaniowej,prawo budowlane,prawo administracyjne materialne,prawo administracyjne
4,5,114 Rzeczowe,"['jakie czynności powinna podjąć wspólnota mieszkaniowa (założenie funduszu celowego) w celu wybudowania windy dla osób niepełnosprawnych?', 'czy wspólnota mieszkaniowa może uchwałą wspólników przeksięgować środki z funduszu remontowego na fundusz celowy?']",jakie czynności powinna podjąć wspólnota mieszkaniowa założenie funduszu celowego w celu wybudowania windy dla osób niepełnosprawnych czy wspólnota mieszkaniowa może uchwałą wspólników przeksięgować środki z funduszu remontowego na fundusz celowy,rzeczowe,rzeczowe,prawo cywilne
5,6,"114 Rzeczowe, 187 Inne - praw podatkowe","['czy nieruchomość nabywa wspólnota mieszkaniowa czy też jej poszczególni członkowie? kto będzie właścicielem nabytej nieruchomości?', 'kto będzie zobowiązany do zapłaty podatku od nieruchomości?', 'czy na zakup nieruchomości wspólnota może przeznaczyć środki zgromadzone na zaliczce remontowo – inwestycyjnej?', 'czy do nabycia nieruchomości wystarczy podjęcie uchwały większością głosów?']",czy nieruchomość nabywa wspólnota mieszkaniowa czy też jej poszczególni członkowie kto będzie właścicielem nabytej nieruchomości kto będzie zobowiązany do zapłaty podatku od nieruchomości czy na zakup nieruchomości wspólnota może przeznaczyć środki zgromadzone na zaliczce remontowo  inwestycyjnej czy do nabycia nieruchomości wystarczy podjęcie uchwały większością głosów,rzeczowe,rzeczowe,prawo cywilne
6,7,15 Prawo ochrony danych osobowych,['jaką treść powinny zawierać przedmiotowe tablice informacyjne?'],jaką treść powinny zawierać przedmiotowe tablice informacyjne,prawo ochrony danych osobowych,prawo administracyjne materialne,prawo administracyjne
7,8,"112 Prawo cywilne procesowe, 116 Spadkowe","['jakie koszty musi ponieść wspólnota mieszkaniowa w związku ze złożeniem wniosku o stwierdzenie nabycia spadku, w którego skład wchodzi nieruchomość pozostająca we wspólnocie?']",jakie koszty musi ponieść wspólnota mieszkaniowa w związku ze złożeniem wniosku o stwierdzenie nabycia spadku w którego skład wchodzi nieruchomość pozostająca we wspólnocie,prawo cywilne procesowe,prawo cywilne procesowe,prawo cywilne
8,9,114 Rzeczowe,"['czy z uwagi na uchybienie formalne, podejmowanie uchwały poprzez indywidualne zbieranie głosów od członków wspólnoty mieszkaniowej, które zostało dokonane przez inny podmiot niż  zarząd lub zarządcę nieruchomości wspólnej, istnieje przesłanka do stwierdzenia jej nieważności?']",czy z uwagi na uchybienie formalne podejmowanie uchwały poprzez indywidualne zbieranie głosów od członków wspólnoty mieszkaniowej które zostało dokonane przez inny podmiot niż zarząd lub zarządcę nieruchomości wspólnej istnieje przesłanka do stwierdzenia jej nieważności,rzeczowe,rzeczowe,prawo cywilne
9,10,114 Rzeczowe,"['czy pomimo tego, iż uchwała została podjęta większością głosów, to nadal istnieje obowiązek dalszego zbierania głosów?', 'czy w treści uchwały należy zamieszczać rubrykę informującą o wstrzymaniu się od głosu?', 'w jaki sposób odpowiedzieć na zarzut, iż sposób zbierania głosów mógł mieć istotny wpływ na treść uchwały?', 'czy zarząd wspólnoty mieszkaniowej ma możliwość wyjścia z inicjatywą anulowania uchwały, a następnie zbierania głosów pod identyczną uchwałą z zachowaniem wymogów formalnych?']",czy pomimo tego iż uchwała została podjęta większością głosów to nadal istnieje obowiązek dalszego zbierania głosów czy w treści uchwały należy zamieszczać rubrykę informującą o wstrzymaniu się od głosu w jaki sposób odpowiedzieć na zarzut iż sposób zbierania głosów mógł mieć istotny wpływ na treść uchwały czy zarząd wspólnoty mieszkaniowej ma możliwość wyjścia z inicjatywą anulowania uchwały a następnie zbierania głosów pod identyczną uchwałą z zachowaniem wymogów formalnych,rzeczowe,rzeczowe,prawo cywilne
10,11,114 Rzeczowe,"['czy wspólnota może rozłożyć właścicielom lokali płatność na raty?', 'czy z każdym właścicielem lokalu należy zawrzeć odrębną umowę?']",czy wspólnota może rozłożyć właścicielom lokali płatność na raty czy z każdym właścicielem lokalu należy zawrzeć odrębną umowę,rzeczowe,rzeczowe,prawo cywilne
11,12,114 Rzeczowe,"['czy wspólnota mieszkaniowa może wprowadzić do statutu wspólnoty zapis, stosownie do którego: „cała instalacja centralnego ogrzewania wraz z grzejnikami w lokalach należy do części wspólnych”?']",czy wspólnota mieszkaniowa może wprowadzić do statutu wspólnoty zapis stosownie do którego cała instalacja centralnego ogrzewania wraz z grzejnikami w lokalach należy do części wspólnych,rzeczowe,rzeczowe,prawo cywilne
12,13,114 Rzeczowe,"['czy duża wspólnota mieszkaniowa składająca się z 8 lokali, może podjąć uchwałę o powiększeniu wszystkich istniejących w danym budynku balkonów, w liczbie 6, ze środków zgromadzonych na funduszu remontowym?']",czy duża wspólnota mieszkaniowa składająca się z  lokali może podjąć uchwałę o powiększeniu wszystkich istniejących w danym budynku balkonów w liczbie  ze środków zgromadzonych na funduszu remontowym,rzeczowe,rzeczowe,prawo cywilne
13,14,20 Prawo budowlane,['czy wspólnota mieszkaniowa może żądać rozbiórki garażu?'],czy wspólnota mieszkaniowa może żądać rozbiórki garażu,prawo budowlane,prawo administracyjne materialne,prawo administracyjne
14,15,20 Prawo budowlane,"['czy spółdzielnia mieszkaniowa może wybudować wiatę śmietnikową na dwóch działkach (na granicy), czy w każdym przypadku musi zachować wymaganą odległość 3 metrów od granicy każdej działki?']",czy spółdzielnia mieszkaniowa może wybudować wiatę śmietnikową na dwóch działkach na granicy czy w każdym przypadku musi zachować wymaganą odległość  metrów od granicy każdej działki,prawo budowlane,prawo administracyjne materialne,prawo administracyjne
15,16,114 Rzeczowe,"['czy dopuszczalne jest umieszczenie w uchwałach wspólnoty mieszkaniowej rubryki „wstrzymał się od głosu” i przyjęcie uchwały, dotyczącej odliczenia od sumy wszystkich głosów oddanych, części głosów oddanych przez osoby wstrzymujące się od głosu?']",czy dopuszczalne jest umieszczenie w uchwałach wspólnoty mieszkaniowej rubryki wstrzymał się od głosu i przyjęcie uchwały dotyczącej odliczenia od sumy wszystkich głosów oddanych części głosów oddanych przez osoby wstrzymujące się od głosu,rzeczowe,rzeczowe,prawo cywilne
16,18,114 Rzeczowe,['czy wspólnota mieszkaniowa powinna wyrazić zgodę w formie uchwały na zlikwidowanie wewnętrznej instalacji gazowej przez właścicielkę lokalu mieszkalnego i zastąpienie jej instalacją elektryczną?'],czy wspólnota mieszkaniowa powinna wyrazić zgodę w formie uchwały na zlikwidowanie wewnętrznej instalacji gazowej przez właścicielkę lokalu mieszkalnego i zastąpienie jej instalacją elektryczną,rzeczowe,rzeczowe,prawo cywilne
17,19,114 Rzeczowe,"['czy wspólnota może sfinansować montaż poręczy przy schodach, chociaż schody służą do użytku tylko jednego właściciela?']",czy wspólnota może sfinansować montaż poręczy przy schodach chociaż schody służą do użytku tylko jednego właściciela,rzeczowe,rzeczowe,prawo cywilne
18,20,114 Rzeczowe,"['czy właścicielka zobowiązana jest do uzyskania zgody wspólnoty mieszkaniowej na likwidację zabudowy okiennej?', 'czy wspólnota mieszkaniowa zobowiązana jest do podjęcia stosownej uchwały?']",czy właścicielka zobowiązana jest do uzyskania zgody wspólnoty mieszkaniowej na likwidację zabudowy okiennej czy wspólnota mieszkaniowa zobowiązana jest do podjęcia stosownej uchwały,rzeczowe,rzeczowe,prawo cywilne
19,21,16 Prawo drogowe,"['czy osoba posiadająca kartę inwalidy, zamieszkująca we wspólnocie, ale niebędąca właścicielem mieszkania, ani członkiem wspólnoty, ma prawo do parkowania swojego samochodu na miejscu parkingowym przeznaczonym dla osób niepełnosprawnych?', 'czy osoba niebędąca członkiem wspólnoty, która jest gościem członka wspólnoty, posiadająca kartę inwalidy, może parkować samochód na zamkniętym prywatnym terenie wspólnoty mieszkaniowej?']",czy osoba posiadająca kartę inwalidy zamieszkująca we wspólnocie ale niebędąca właścicielem mieszkania ani członkiem wspólnoty ma prawo do parkowania swojego samochodu na miejscu parkingowym przeznaczonym dla osób niepełnosprawnych czy osoba niebędąca członkiem wspólnoty która jest gościem członka wspólnoty posiadająca kartę inwalidy może parkować samochód na zamkniętym prywatnym terenie wspólnoty mieszkaniowej,prawo drogowe,prawo administracyjne materialne,prawo administracyjne
20,22,114 Rzeczowe,['czy wspólnota mieszkaniowa powinna pokryć koszty naprawy drzwi komórki lokatorskiej?'],czy wspólnota mieszkaniowa powinna pokryć koszty naprawy drzwi komórki lokatorskiej,rzeczowe,rzeczowe,prawo cywilne
21,23,114 Rzeczowe,"['czy wspólnota mieszkaniowa może odwołać zarządcę (administratora) bez zgody zarządu?', 'czy pod wypowiedzeniem umowy dla starego zarządcy (administratora) i pod nową umową z nowym zarządcą (administratorem) może podpisać się tylko 1 członek zarządu?']",czy wspólnota mieszkaniowa może odwołać zarządcę administratora bez zgody zarządu czy pod wypowiedzeniem umowy dla starego zarządcy administratora i pod nową umową z nowym zarządcą administratorem może podpisać się tylko  członek zarządu,rzeczowe,rzeczowe,prawo cywilne
