,Tekst,Wektor słów,Kategorie prawne,Liczba kategorii prawnych
33,czy w przypadku w którym księgowy nie dotrzyma terminu klientka może wezwać policję i wejść do biura księgowego w celu odebrania przekazanych księgowemu dokumentów,"['dotrzyma', 'wezwać', 'wejść', 'biura', 'przekazanych']","['prawo cywilne', 'prawo administracyjne', 'prawo pracy', 'prawo medyczne', 'prawo karne']",5
14,czy data umiejscowiona na blistrze może być uznana za datę zdatności suplementu diety do spożycia,"['blistrze', 'datę', 'suplementu']","['prawo cywilne', 'prawo farmaceutyczne', 'prawo medyczne']",3
48,czy możliwe jest wyłączenie odpowiedzialności zarządcy nieruchomości za szkody poniesione przez osoby trzecie na skutek niezapewnienia bezpieczeństwa użytkowania chodnika położonego przy nieruchomości,"['zarządcy', 'skutek', 'bezpieczeństwa']","['prawo administracyjne', 'prawo farmaceutyczne', 'prawo medyczne']",3
24,na jaki maksymalny okres pracodawca może delegować pracownika do innej pracy niż wynikającej z umowy o pracę,"['maksymalny', 'delegować', 'wynikającej']","['prawo administracyjne', 'prawo pracy', 'prawo medyczne']",3
30,czy apteka może żądać od farmaceuty dostarczenia notarialnie poświadczonej kopii prawa wykonywania zawodu na koszt klientki czy pracodawca może zatrzymać kopie dokumentów przekazanych przez klientkę w aktach pracowniczych,"['poświadczonej', 'koszt', 'aktach']","['prawo cywilne', 'prawo medyczne', 'prawo karne']",3
0,czy wspólnota mieszkaniowa może odzyskać pomieszczenie gospodarcze jakie kroki wspólnota mieszkaniowa powinna podjąć aby odzyskać przedmiotowe pomieszczenie,"['pomieszczenie', 'gospodarcze']","['prawo farmaceutyczne', 'prawo medyczne']",2
28,jaki jest termin na zawiadomienie wskazanych organów jeżeli tak to jakie konsekwencje wiążą się z niedotrzymaniem terminu,"['wskazanych', 'wiążą']","['prawo farmaceutyczne', 'prawo medyczne']",2
29,czy staż klientki będzie wydłużony o czas pobytu na sor,"['staż', 'czas']","['prawo cywilne', 'prawo medyczne']",2
31,jak przedstawiają się prawa i obowiązki pracownika oraz pracodawcy w sytuacji powrotu pracownika z urlopu związanego z macierzyństwem,"['przedstawiają', 'pracownika']","['prawo pracy', 'prawo karne']",2
32,czy lekarze powinni aktualizować swoje dane w rejestrze lekarzy uprawnionych do badań kierowców który prowadzi urząd marszałkowski,"['badań', 'prowadzi']","['prawo medyczne', 'prawo karne']",2
34,czy produkt leczniczy który został wytworzony w meksyku przeznaczony na rynek ukraiński może być przechowywany przez hurtownię farmaceutyczną w polsce,"['meksyku', 'hurtownię']","['prawo farmaceutyczne', 'prawo medyczne']",2
35,czy rowerzysta może jeździć po chodniku co dzieje się w przypadku nieprzyjęcia mandatu przez kierowcę samochodu,"['rowerzysta', 'dzieje']","['prawo cywilne', 'prawo farmaceutyczne']",2
36,jeśli klient zapłaci karę umowną to już nie grożą mu inne konsekwencje prawne np odpowiedzialność karna,"['zapłaci', 'prawne']","['prawo pracy', 'prawo karne']",2
37,czy zainteresowana oraz jej partner mogą dochodzić odszkodowania za poniesione wskutek stłuczki szkody od kierowcy drugiego samochodu,"['partner', 'kierowcy']","['prawo cywilne', 'prawo administracyjne']",2
26,czy można zakrywać twarz przyłbicą i szalikiem i jakie są ewentualne sankcje za brak noszenia maseczki,"['szalikiem', 'noszenia']","['prawo pracy', 'prawo karne']",2
38,czy klient może uchylić się od stawiennictwa na ćwiczeniach,"['uchylić', 'stawiennictwa']","['prawo cywilne', 'prawo farmaceutyczne']",2
39,czy klientka powinna wystawić jednostce w której odbywała moduł podstawowy rachunek w ramach indywidualnej praktyki lekarskiej,"['jednostce', 'odbywała', 'moduł', 'rachunek', 'indywidualnej']","['prawo cywilne', 'prawo medyczne']",2
40,czy zgodne z prawem jest prowadzenie postępowania o podwyższanie opłaty za niesegregowanie śmieci za marzec  r czy wspólnota mieszkaniowa może odwołać się od decyzji,"['podwyższanie', 'niesegregowanie']","['prawo cywilne', 'prawo farmaceutyczne']",2
41,czy pracodawcę maszynisty obejmują przepisy rozporządzenia rady ministrów w sprawie profilaktycznych posiłków i napojów dotyczące obowiązku zapewnienia bezpłatnych napoi od jakiej temperatury pracodawca musi zapewnić napoje maszynistą,"['rady', 'ministrów', 'napojów', 'temperatury']","['prawo farmaceutyczne', 'prawo medyczne']",2
42,czy wojewódzki inspektor farmaceutyczny może podczas wizyty w celu zabezpieczenia przeterminowanych leków skontrolować inne rzeczy w aptece,"['farmaceutyczny', 'zabezpieczenia', 'rzeczy']","['prawo cywilne', 'prawo medyczne']",2
43,czy pracodawca ma prawo wydać polecenie klientowi aby rozpoczynał pracę w innej miejscowości co powinien zrobić pracodawca w celu zmiany miejsca pracy klienta,"['klientowi', 'miejscowości']","['prawo farmaceutyczne', 'prawo karne']",2
44,czy zawarty w umowie zapis nadzoru nad badaniami przypisuje klienta do roli odpowiedzialnego czy wykonującego procedurę medyczną na przykładzie badania angiotk tętnic płucnych,"['badaniami', 'roli']","['prawo cywilne', 'prawo medyczne']",2
45,jakie informacje powinny znaleźć się w sprawozdaniu z działalności likwidatora w części dotyczącej działań podjętych przez likwidatora,"['powinny', 'dotyczącej']","['prawo cywilne', 'prawo medyczne']",2
46,czy okres między zakończeniem zawodowej służby wojskowej a podjęciem pracy przez klienta wlicza się do stażu pracy wymaganego do przejścia na emeryturę,"['zakończeniem', 'wojskowej']","['prawo cywilne', 'prawo farmaceutyczne']",2
47,czy starosta udzielając dofinansowania może odmówić udzielenia dofinasowania klientce ponieważ pod danym adresem będą działać dwa podmioty gospodarcze,"['starosta', 'udzielenia']","['prawo cywilne', 'prawo medyczne']",2
27,czy powszechnie obowiązujące przepisy określają ile miejsc powinna zapewniać poczekalnia przy gabinecie prowadzonym w ramach indywidualnej praktyki lekarskiej,"['zapewniać', 'indywidualnej']","['prawo cywilne', 'prawo medyczne']",2
25,czy klient jest zobowiązany do przesłania dokumentacji medycznej małoletnich do sądu na własny koszt,"['przesłania', 'małoletnich']","['prawo cywilne', 'prawo karne']",2
1,czy wspólnota mieszkaniowa może wprowadzić do statutu wspólnoty zapis stosownie do którego cała instalacja centralnego ogrzewania wraz z grzejnikami w lokalach należy do części wspólnych,"['wprowadzić', 'zapis', 'ogrzewania']","['prawo cywilne', 'prawo pracy']",2
11,jakie elementy otoczenia może obejmować monitoring klienta,"['elementy', 'obejmować']","['prawo cywilne', 'prawo medyczne']",2
2,czy żona klienta może zrezygnować z prawa użytkowania wieczystego drogi dojazdowej do garażu,"['zrezygnować', 'dojazdowej']","['prawo administracyjne', 'prawo medyczne']",2
3,czy pielęgniarka może rozpuścić lek na oddziale np rozpuścić substancje we fiolce za pomocą wody do wstrzykiwań lub soli fizjologicznej i dodawać do worka do podania we wlewie dożylnym czy pielęgniarka może wykonywać powyższe czynności również wobec leków cytostatycznych,"['wody', 'podania']","['prawo cywilne', 'prawo medyczne']",2
